# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-29 12:34:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03109500 Little Beaver Creek near East Liverpool OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 03109500
#            TS   parameter     statistic     Description
#        108675       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	108675_00060_00003	108675_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03109500	1935-01-01	300	A
USGS	03109500	1935-01-02	350	A
USGS	03109500	1935-01-03	320	A
USGS	03109500	1935-01-04	270	A
USGS	03109500	1935-01-05	230	A
USGS	03109500	1935-01-06	210	A
USGS	03109500	1935-01-07	194	A
USGS	03109500	1935-01-08	199	A
USGS	03109500	1935-01-09	324	A
USGS	03109500	1935-01-10	504	A
USGS	03109500	1935-01-11	430	A
USGS	03109500	1935-01-12	318	A
USGS	03109500	1935-01-13	260	A
USGS	03109500	1935-01-14	254	A
USGS	03109500	1935-01-15	211	A
USGS	03109500	1935-01-16	291	A
USGS	03109500	1935-01-17	679	A
USGS	03109500	1935-01-18	868	A
USGS	03109500	1935-01-19	558	A
USGS	03109500	1935-01-20	1170	A
USGS	03109500	1935-01-21	2900	A
USGS	03109500	1935-01-22	2890	A
USGS	03109500	1935-01-23	1570	A
USGS	03109500	1935-01-24	1040	A
USGS	03109500	1935-01-25	800	A
USGS	03109500	1935-01-26	640	A
USGS	03109500	1935-01-27	560	A
USGS	03109500	1935-01-28	450	A
USGS	03109500	1935-01-29	370	A
USGS	03109500	1935-01-30	310	A
USGS	03109500	1935-01-31	270	A
USGS	03109500	1935-02-01	260	A
USGS	03109500	1935-02-02	250	A
USGS	03109500	1935-02-03	240	A
USGS	03109500	1935-02-04	240	A
USGS	03109500	1935-02-05	230	A
USGS	03109500	1935-02-06	230	A
USGS	03109500	1935-02-07	240	A
USGS	03109500	1935-02-08	270	A
USGS	03109500	1935-02-09	290	A
USGS	03109500	1935-02-10	270	A
USGS	03109500	1935-02-11	260	A
USGS	03109500	1935-02-12	250	A
USGS	03109500	1935-02-13	250	A
USGS	03109500	1935-02-14	270	A
USGS	03109500	1935-02-15	1440	A
USGS	03109500	1935-02-16	1580	A
USGS	03109500	1935-02-17	1010	A
USGS	03109500	1935-02-18	641	A
USGS	03109500	1935-02-19	558	A
USGS	03109500	1935-02-20	492	A
USGS	03109500	1935-02-21	358	A
USGS	03109500	1935-02-22	391	A
USGS	03109500	1935-02-23	526	A
USGS	03109500	1935-02-24	582	A
USGS	03109500	1935-02-25	1210	A
USGS	03109500	1935-02-26	3800	A
USGS	03109500	1935-02-27	2030	A
USGS	03109500	1935-02-28	1070	A
USGS	03109500	1935-03-01	682	A
USGS	03109500	1935-03-02	868	A
USGS	03109500	1935-03-03	1210	A
USGS	03109500	1935-03-04	951	A
USGS	03109500	1935-03-05	868	A
USGS	03109500	1935-03-06	896	A
USGS	03109500	1935-03-07	791	A
USGS	03109500	1935-03-08	766	A
USGS	03109500	1935-03-09	563	A
USGS	03109500	1935-03-10	531	A
USGS	03109500	1935-03-11	1300	A
USGS	03109500	1935-03-12	3310	A
USGS	03109500	1935-03-13	2210	A
USGS	03109500	1935-03-14	1320	A
USGS	03109500	1935-03-15	951	A
USGS	03109500	1935-03-16	766	A
USGS	03109500	1935-03-17	626	A
USGS	03109500	1935-03-18	606	A
USGS	03109500	1935-03-19	513	A
USGS	03109500	1935-03-20	582	A
USGS	03109500	1935-03-21	1030	A
USGS	03109500	1935-03-22	868	A
USGS	03109500	1935-03-23	691	A
USGS	03109500	1935-03-24	626	A
USGS	03109500	1935-03-25	522	A
USGS	03109500	1935-03-26	458	A
USGS	03109500	1935-03-27	384	A
USGS	03109500	1935-03-28	366	A
USGS	03109500	1935-03-29	348	A
USGS	03109500	1935-03-30	296	A
USGS	03109500	1935-03-31	274	A
USGS	03109500	1935-04-01	277	A
USGS	03109500	1935-04-02	277	A
USGS	03109500	1935-04-03	254	A
USGS	03109500	1935-04-04	228	A
USGS	03109500	1935-04-05	213	A
USGS	03109500	1935-04-06	248	A
USGS	03109500	1935-04-07	233	A
USGS	03109500	1935-04-08	290	A
USGS	03109500	1935-04-09	399	A
USGS	03109500	1935-04-10	384	A
USGS	03109500	1935-04-11	314	A
USGS	03109500	1935-04-12	482	A
USGS	03109500	1935-04-13	882	A
USGS	03109500	1935-04-14	691	A
USGS	03109500	1935-04-15	549	A
USGS	03109500	1935-04-16	462	A
USGS	03109500	1935-04-17	414	A
USGS	03109500	1935-04-18	366	A
USGS	03109500	1935-04-19	324	A
USGS	03109500	1935-04-20	283	A
USGS	03109500	1935-04-21	254	A
USGS	03109500	1935-04-22	228	A
USGS	03109500	1935-04-23	211	A
USGS	03109500	1935-04-24	201	A
USGS	03109500	1935-04-25	183	A
USGS	03109500	1935-04-26	162	A
USGS	03109500	1935-04-27	160	A
USGS	03109500	1935-04-28	208	A
USGS	03109500	1935-04-29	199	A
USGS	03109500	1935-04-30	197	A
USGS	03109500	1935-05-01	190	A
USGS	03109500	1935-05-02	1610	A
USGS	03109500	1935-05-03	3270	A
USGS	03109500	1935-05-04	2360	A
USGS	03109500	1935-05-05	1430	A
USGS	03109500	1935-05-06	1340	A
USGS	03109500	1935-05-07	5670	A
USGS	03109500	1935-05-08	3750	A
USGS	03109500	1935-05-09	1920	A
USGS	03109500	1935-05-10	1540	A
USGS	03109500	1935-05-11	1150	A
USGS	03109500	1935-05-12	791	A
USGS	03109500	1935-05-13	691	A
USGS	03109500	1935-05-14	606	A
USGS	03109500	1935-05-15	509	A
USGS	03109500	1935-05-16	407	A
USGS	03109500	1935-05-17	362	A
USGS	03109500	1935-05-18	305	A
USGS	03109500	1935-05-19	263	A
USGS	03109500	1935-05-20	238	A
USGS	03109500	1935-05-21	228	A
USGS	03109500	1935-05-22	208	A
USGS	03109500	1935-05-23	192	A
USGS	03109500	1935-05-24	175	A
USGS	03109500	1935-05-25	160	A
USGS	03109500	1935-05-26	146	A
USGS	03109500	1935-05-27	136	A
USGS	03109500	1935-05-28	133	A
USGS	03109500	1935-05-29	131	A
USGS	03109500	1935-05-30	152	A
USGS	03109500	1935-05-31	133	A
USGS	03109500	1935-06-01	112	A
USGS	03109500	1935-06-02	100	A
USGS	03109500	1935-06-03	110	A
USGS	03109500	1935-06-04	224	A
USGS	03109500	1935-06-05	168	A
USGS	03109500	1935-06-06	194	A
USGS	03109500	1935-06-07	162	A
USGS	03109500	1935-06-08	160	A
USGS	03109500	1935-06-09	140	A
USGS	03109500	1935-06-10	122	A
USGS	03109500	1935-06-11	108	A
USGS	03109500	1935-06-12	91.0	A
USGS	03109500	1935-06-13	84.0	A
USGS	03109500	1935-06-14	79.0	A
USGS	03109500	1935-06-15	76.0	A
USGS	03109500	1935-06-16	73.0	A
USGS	03109500	1935-06-17	71.0	A
USGS	03109500	1935-06-18	122	A
USGS	03109500	1935-06-19	707	A
USGS	03109500	1935-06-20	283	A
USGS	03109500	1935-06-21	206	A
USGS	03109500	1935-06-22	953	A
USGS	03109500	1935-06-23	980	A
USGS	03109500	1935-06-24	536	A
USGS	03109500	1935-06-25	338	A
USGS	03109500	1935-06-26	241	A
USGS	03109500	1935-06-27	192	A
USGS	03109500	1935-06-28	156	A
USGS	03109500	1935-06-29	129	A
USGS	03109500	1935-06-30	110	A
USGS	03109500	1935-07-01	90.0	A
USGS	03109500	1935-07-02	79.0	A
USGS	03109500	1935-07-03	71.0	A
USGS	03109500	1935-07-04	68.0	A
USGS	03109500	1935-07-05	95.0	A
USGS	03109500	1935-07-06	98.0	A
USGS	03109500	1935-07-07	75.0	A
USGS	03109500	1935-07-08	70.0	A
USGS	03109500	1935-07-09	66.0	A
USGS	03109500	1935-07-10	56.0	A
USGS	03109500	1935-07-11	53.0	A
USGS	03109500	1935-07-12	51.0	A
USGS	03109500	1935-07-13	53.0	A
USGS	03109500	1935-07-14	47.0	A
USGS	03109500	1935-07-15	45.0	A
USGS	03109500	1935-07-16	56.0	A
USGS	03109500	1935-07-17	51.0	A
USGS	03109500	1935-07-18	44.0	A
USGS	03109500	1935-07-19	41.0	A
USGS	03109500	1935-07-20	114	A
USGS	03109500	1935-07-21	58.0	A
USGS	03109500	1935-07-22	69.0	A
USGS	03109500	1935-07-23	85.0	A
USGS	03109500	1935-07-24	129	A
USGS	03109500	1935-07-25	150	A
USGS	03109500	1935-07-26	417	A
USGS	03109500	1935-07-27	204	A
USGS	03109500	1935-07-28	128	A
USGS	03109500	1935-07-29	133	A
USGS	03109500	1935-07-30	135	A
USGS	03109500	1935-07-31	101	A
USGS	03109500	1935-08-01	108	A
USGS	03109500	1935-08-02	235	A
USGS	03109500	1935-08-03	1950	A
USGS	03109500	1935-08-04	601	A
USGS	03109500	1935-08-05	741	A
USGS	03109500	1935-08-06	1700	A
USGS	03109500	1935-08-07	5730	A
USGS	03109500	1935-08-08	2420	A
USGS	03109500	1935-08-09	1340	A
USGS	03109500	1935-08-10	994	A
USGS	03109500	1935-08-11	2340	A
USGS	03109500	1935-08-12	1070	A
USGS	03109500	1935-08-13	611	A
USGS	03109500	1935-08-14	475	A
USGS	03109500	1935-08-15	686	A
USGS	03109500	1935-08-16	1650	A
USGS	03109500	1935-08-17	1030	A
USGS	03109500	1935-08-18	686	A
USGS	03109500	1935-08-19	445	A
USGS	03109500	1935-08-20	330	A
USGS	03109500	1935-08-21	416	A
USGS	03109500	1935-08-22	770	A
USGS	03109500	1935-08-23	464	A
USGS	03109500	1935-08-24	291	A
USGS	03109500	1935-08-25	214	A
USGS	03109500	1935-08-26	178	A
USGS	03109500	1935-08-27	156	A
USGS	03109500	1935-08-28	154	A
USGS	03109500	1935-08-29	152	A
USGS	03109500	1935-08-30	128	A
USGS	03109500	1935-08-31	110	A
USGS	03109500	1935-09-01	99.0	A
USGS	03109500	1935-09-02	90.0	A
USGS	03109500	1935-09-03	85.0	A
USGS	03109500	1935-09-04	170	A
USGS	03109500	1935-09-05	308	A
USGS	03109500	1935-09-06	198	A
USGS	03109500	1935-09-07	134	A
USGS	03109500	1935-09-08	103	A
USGS	03109500	1935-09-09	96.0	A
USGS	03109500	1935-09-10	130	A
USGS	03109500	1935-09-11	134	A
USGS	03109500	1935-09-12	110	A
USGS	03109500	1935-09-13	87.0	A
USGS	03109500	1935-09-14	74.0	A
USGS	03109500	1935-09-15	66.0	A
USGS	03109500	1935-09-16	59.0	A
USGS	03109500	1935-09-17	57.0	A
USGS	03109500	1935-09-18	60.0	A
USGS	03109500	1935-09-19	63.0	A
USGS	03109500	1935-09-20	74.0	A
USGS	03109500	1935-09-21	87.0	A
USGS	03109500	1935-09-22	79.0	A
USGS	03109500	1935-09-23	57.0	A
USGS	03109500	1935-09-24	52.0	A
USGS	03109500	1935-09-25	46.0	A
USGS	03109500	1935-09-26	44.0	A
USGS	03109500	1935-09-27	43.0	A
USGS	03109500	1935-09-28	58.0	A
USGS	03109500	1935-09-29	78.0	A
USGS	03109500	1935-09-30	75.0	A
USGS	03109500	1935-10-01	79.0	A
USGS	03109500	1935-10-02	98.0	A
USGS	03109500	1935-10-03	101	A
USGS	03109500	1935-10-04	85.0	A
USGS	03109500	1935-10-05	67.0	A
USGS	03109500	1935-10-06	59.0	A
USGS	03109500	1935-10-07	52.0	A
USGS	03109500	1935-10-08	52.0	A
USGS	03109500	1935-10-09	50.0	A
USGS	03109500	1935-10-10	51.0	A
USGS	03109500	1935-10-11	52.0	A
USGS	03109500	1935-10-12	53.0	A
USGS	03109500	1935-10-13	55.0	A
USGS	03109500	1935-10-14	79.0	A
USGS	03109500	1935-10-15	138	A
USGS	03109500	1935-10-16	143	A
USGS	03109500	1935-10-17	98.0	A
USGS	03109500	1935-10-18	72.0	A
USGS	03109500	1935-10-19	66.0	A
USGS	03109500	1935-10-20	60.0	A
USGS	03109500	1935-10-21	58.0	A
USGS	03109500	1935-10-22	159	A
USGS	03109500	1935-10-23	323	A
USGS	03109500	1935-10-24	334	A
USGS	03109500	1935-10-25	185	A
USGS	03109500	1935-10-26	138	A
USGS	03109500	1935-10-27	110	A
USGS	03109500	1935-10-28	96.0	A
USGS	03109500	1935-10-29	93.0	A
USGS	03109500	1935-10-30	103	A
USGS	03109500	1935-10-31	103	A
USGS	03109500	1935-11-01	95.0	A
USGS	03109500	1935-11-02	87.0	A
USGS	03109500	1935-11-03	79.0	A
USGS	03109500	1935-11-04	75.0	A
USGS	03109500	1935-11-05	77.0	A
USGS	03109500	1935-11-06	101	A
USGS	03109500	1935-11-07	105	A
USGS	03109500	1935-11-08	106	A
USGS	03109500	1935-11-09	117	A
USGS	03109500	1935-11-10	110	A
USGS	03109500	1935-11-11	105	A
USGS	03109500	1935-11-12	161	A
USGS	03109500	1935-11-13	1410	A
USGS	03109500	1935-11-14	947	A
USGS	03109500	1935-11-15	540	A
USGS	03109500	1935-11-16	401	A
USGS	03109500	1935-11-17	344	A
USGS	03109500	1935-11-18	288	A
USGS	03109500	1935-11-19	250	A
USGS	03109500	1935-11-20	236	A
USGS	03109500	1935-11-21	225	A
USGS	03109500	1935-11-22	199	A
USGS	03109500	1935-11-23	176	A
USGS	03109500	1935-11-24	148	A
USGS	03109500	1935-11-25	134	A
USGS	03109500	1935-11-26	150	A
USGS	03109500	1935-11-27	150	A
USGS	03109500	1935-11-28	286	A
USGS	03109500	1935-11-29	437	A
USGS	03109500	1935-11-30	344	A
USGS	03109500	1935-12-01	288	A
USGS	03109500	1935-12-02	258	A
USGS	03109500	1935-12-03	215	A
USGS	03109500	1935-12-04	222	A
USGS	03109500	1935-12-05	276	A
USGS	03109500	1935-12-06	326	A
USGS	03109500	1935-12-07	222	A
USGS	03109500	1935-12-08	394	A
USGS	03109500	1935-12-09	1460	A
USGS	03109500	1935-12-10	1280	A
USGS	03109500	1935-12-11	960	A
USGS	03109500	1935-12-12	754	A
USGS	03109500	1935-12-13	731	A
USGS	03109500	1935-12-14	1050	A
USGS	03109500	1935-12-15	2000	A
USGS	03109500	1935-12-16	2820	A
USGS	03109500	1935-12-17	1800	A
USGS	03109500	1935-12-18	1180	A
USGS	03109500	1935-12-19	900	A
USGS	03109500	1935-12-20	708	A
USGS	03109500	1935-12-21	478	A
USGS	03109500	1935-12-22	300	A
USGS	03109500	1935-12-23	220	A
USGS	03109500	1935-12-24	170	A
USGS	03109500	1935-12-25	140	A
USGS	03109500	1935-12-26	120	A
USGS	03109500	1935-12-27	110	A
USGS	03109500	1935-12-28	100	A
USGS	03109500	1935-12-29	100	A
USGS	03109500	1935-12-30	100	A
USGS	03109500	1935-12-31	100	A
USGS	03109500	1936-01-01	100	A
USGS	03109500	1936-01-02	110	A
USGS	03109500	1936-01-03	970	A
USGS	03109500	1936-01-04	1350	A
USGS	03109500	1936-01-05	1390	A
USGS	03109500	1936-01-06	1080	A
USGS	03109500	1936-01-07	960	A
USGS	03109500	1936-01-08	850	A
USGS	03109500	1936-01-09	1760	A
USGS	03109500	1936-01-10	3430	A
USGS	03109500	1936-01-11	2080	A
USGS	03109500	1936-01-12	1280	A
USGS	03109500	1936-01-13	1240	A
USGS	03109500	1936-01-14	1160	A
USGS	03109500	1936-01-15	960	A
USGS	03109500	1936-01-16	825	A
USGS	03109500	1936-01-17	664	A
USGS	03109500	1936-01-18	709	A
USGS	03109500	1936-01-19	788	A
USGS	03109500	1936-01-20	483	A
USGS	03109500	1936-01-21	400	A
USGS	03109500	1936-01-22	300	A
USGS	03109500	1936-01-23	240	A
USGS	03109500	1936-01-24	190	A
